fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
7.36,0.276,0.32,1.14,0.038,21.7,80.2,0.992106,3.21,0.51,12.46822500311402,8
7.05,0.316,0.32,11.19,0.042,56.5,199.5,0.994258,3.13,0.76,9.36948126013976,8
6.6,0.29,0.34,1.47,0.045,27.7,116.2,0.991843,3.23,0.55,11.0114971267045,8
6.22,0.338,0.37,4.33,0.042,25.9,140.1,0.992646,3.05,0.43,9.25736990071648,8
7.41,0.372,0.32,7.18,0.048,36.4,133.1,0.995958,3.09,0.44,10.38510272483219,8
7.3,0.41,0.29,1.8,0.032,26.0,74.0,0.98889,2.96,0.35,13.0,8
6.12,0.229,0.28,6.96,0.046,24.8,113.5,0.996022,3.31,0.59,9.3735337995473,8
7.01,0.256,0.34,9.15,0.027,11.2,95.5,0.99201,3.14,0.6,11.4344776477336,8
6.36,0.267,0.25,4.02,0.044,9.4,80.5,0.993818,3.25,0.47,10.85484113655149,8
6.96,0.212,0.25,3.92,0.046,12.6,95.7,0.992285,3.41,0.55,10.4197289276578,8
6.08,0.259,0.26,4.76,0.041,14.2,89.0,0.987522,2.95,0.31,10.68250227501447,8
6.38,0.241,0.31,1.15,0.052,41.3,122.7,0.99457,3.15,0.53,12.20329009724635,8
6.8,0.19,0.32,7.05,0.019,54.0,188.0,0.9935,3.25,0.37,11.1,8
6.38,0.387,0.36,1.54,0.036,24.2,180.9,0.994776,2.94,0.63,11.09937531700647,8
8.74,0.285,0.22,3.44,0.037,23.9,123.8,0.993978,3.41,0.57,9.4250015840754,8
7.53,0.352,0.17,4.85,0.043,24.3,144.3,0.993117,3.34,0.49,12.24172839985056,8
7.62,0.177,0.32,1.44,0.043,43.2,131.1,0.9934,3.28,0.33,9.34834954260249,8
7.66,0.311,0.3,13.0,0.043,11.5,147.9,0.992633,3.16,0.4,12.24863244808223,8
7.1,0.22,0.35,3.51,0.05,37.0,135.7,0.991877,3.3,0.49,10.95609518313719,8
7.0,0.22,0.26,9.2,0.027,37.0,122.0,0.99228,3.06,0.34,12.5,8
7.63,0.2,0.27,5.05,0.035,47.8,99.2,0.993109,3.18,0.36,11.05538079392292,8
7.14,0.193,0.33,1.05,0.048,37.7,87.3,0.994595,3.12,0.54,10.41990442664982,8
6.34,0.213,0.25,4.43,0.04,40.3,96.7,0.992131,3.25,0.69,9.80852285566413,8
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
6.48,0.398,0.32,2.66,0.04,12.2,115.9,0.991372,3.29,0.33,12.29501345714991,8
7.99,0.466,0.35,2.51,0.033,12.5,180.4,0.99242,3.21,0.55,9.47843615058363,8
6.02,0.3,0.31,3.04,0.028,33.6,103.7,0.988568,3.26,0.68,12.91936931420244,8
6.21,0.339,0.28,4.24,0.049,49.7,201.0,0.994165,3.15,0.52,10.35008956927843,8
7.29,0.156,0.33,4.68,0.034,20.1,119.7,0.993811,3.32,0.45,10.7477027126864,8
6.47,0.463,0.61,1.44,0.05,25.8,85.1,0.99438,3.28,0.51,9.25397163520326,8
7.76,0.195,0.23,6.12,0.121,25.2,106.2,0.993985,3.38,0.38,9.83913060657899,8
7.19,0.346,0.3,2.67,0.024,20.5,116.8,0.992894,3.33,0.37,10.40138345447292,8
5.59,0.37,0.29,3.95,0.035,27.3,173.2,0.992878,3.21,0.74,11.2341764940493,8
8.46,0.308,0.3,5.74,0.021,15.2,119.7,0.989443,3.35,0.3,12.36157629614153,8
6.82,0.273,0.33,4.09,0.037,13.3,135.3,0.992592,3.26,0.36,13.1603808517176,8
6.4,0.299,0.24,3.69,0.026,23.9,81.2,0.991759,3.18,0.37,12.21119823876968,8
7.67,0.224,0.26,12.97,0.033,35.4,147.9,0.996301,3.26,0.55,9.96465326620246,8
8.29,0.31,0.26,1.22,0.031,14.7,112.0,0.990309,3.38,0.66,11.0483858681609,8
7.19,0.188,0.21,5.16,0.051,51.7,122.2,0.99416,2.99,0.6,12.09579915921041,8
8.0,0.244,0.31,3.2,0.038,33.7,119.2,0.993991,3.15,0.44,9.94940962871889,8
5.4,0.46,0.15,2.1,0.026,29.0,130.0,0.98953,3.39,0.77,13.4,8
6.46,0.344,0.32,1.19,0.031,23.3,103.5,0.994658,3.23,0.36,10.75243930628618,8
7.9,0.172,0.32,6.1,0.04,50.4,125.2,0.994143,3.34,0.39,11.34187793867286,8
6.21,0.395,0.32,2.35,0.039,9.1,86.6,0.990902,3.17,0.35,10.9428980694564,8
6.14,0.297,0.56,3.6,0.027,17.1,127.2,0.992047,3.23,0.53,11.31444736189073,8
8.39,0.369,0.33,3.18,0.034,33.9,97.1,0.990328,3.19,0.39,12.51784432111716,8
6.48,0.307,0.27,1.41,0.029,43.2,111.6,0.991193,3.25,0.56,11.8634177716018,8
6.69,0.243,0.31,3.43,0.038,8.1,110.6,0.991683,3.21,0.39,12.34529701265798,8
6.23,0.353,0.33,3.19,0.037,9.1,69.6,0.991433,3.08,0.38,11.1420546213514,8
7.36,0.291,0.28,4.39,0.056,29.6,125.9,0.994989,3.18,0.37,11.0299613483987,8
6.39,0.271,0.38,2.87,0.036,26.8,120.1,0.991714,3.3,0.38,11.28442659053416,8
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,8
7.01,0.373,0.26,10.45,0.036,55.9,111.7,0.995603,3.24,0.62,9.72590943610881,8
7.09,0.297,0.29,3.42,0.04,13.7,119.6,0.990892,3.4,0.55,11.43551755236127,8
6.28,0.31,0.37,1.23,0.031,18.7,102.3,0.995228,3.33,0.58,10.25947291411549,8
6.16,0.325,0.32,12.42,0.037,55.4,119.3,0.992776,3.26,0.49,9.53474797628388,8
8.31,0.268,0.11,4.84,0.04,63.6,101.2,0.993883,3.28,0.6,11.3188469649485,8
6.48,0.23,0.28,6.19,0.036,20.8,162.9,0.99349,2.92,0.55,12.32713474080772,8
6.92,0.321,0.3,0.64,0.028,6.8,76.9,0.989253,3.13,0.51,12.91626397513352,8
6.51,0.286,0.24,3.71,0.031,17.4,79.3,0.98906,3.23,0.51,12.92046288225647,8
8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,8
6.56,0.261,0.27,2.8,0.057,11.2,123.8,0.994246,3.24,0.34,12.749222817822,8
7.66,0.295,0.34,4.71,0.041,18.7,129.3,0.992745,3.17,0.59,12.34806157275826,8
7.84,0.221,0.26,4.49,0.048,59.9,139.4,0.994335,3.34,0.54,9.35834752345657,8
6.67,0.308,0.3,4.55,0.035,24.1,113.3,0.992449,2.97,0.38,12.41277440243523,8
8.56,0.307,0.35,5.44,0.037,34.7,121.4,0.991987,3.34,0.46,10.16609646304144,8
5.9,0.262,0.32,3.61,0.03,16.1,106.6,0.990417,3.18,0.37,10.46047533746722,8
6.05,0.198,0.22,1.56,0.046,19.5,102.0,0.992722,3.13,0.39,11.17953301891274,8
6.76,0.26,0.41,4.91,0.035,26.2,151.4,0.991409,3.25,0.71,10.50260269445087,8
6.95,0.346,0.57,3.38,0.036,23.4,83.8,0.991429,2.98,0.47,11.14051271184698,8
7.46,0.194,0.24,0.78,0.027,32.7,145.6,0.995085,3.27,0.39,10.439648802053,8
6.63,0.326,0.28,1.41,0.043,18.9,95.4,0.991187,3.3,0.54,11.16568053523617,8
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,8
7.2,0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.34,11.1,8
6.69,0.19,0.34,7.85,0.043,24.4,141.8,0.997051,3.17,0.48,11.07377341054116,8
5.4,0.53,0.16,2.7,0.036,34.0,128.0,0.98856,3.2,0.53,13.2,8
5.8,0.32,0.28,4.3,0.032,46.0,115.0,0.98946,3.16,0.57,13.0,8
6.96,0.401,0.26,8.53,0.147,56.7,206.2,0.998741,3.08,0.59,9.12594520641605,8
7.5,0.28,0.34,4.2,0.028,36.0,116.0,0.991,2.99,0.41,12.3,8
6.74,0.236,0.24,3.71,0.039,26.8,114.0,0.992068,3.22,0.48,11.17586815433001,8
6.61,0.345,0.32,3.85,0.034,12.5,122.0,0.994393,3.16,0.37,10.89526268281153,8
6.0,0.25,0.28,2.2,0.026,54.0,126.0,0.9898,3.43,0.65,12.9,8
6.54,0.112,0.33,5.46,0.045,19.4,98.9,0.992055,3.31,0.26,11.65272947274492,8
6.9,0.408,0.31,4.89,0.033,16.5,126.8,0.992074,3.24,0.44,12.30186531191734,8
6.57,0.315,0.33,0.85,0.042,16.7,118.9,0.991472,3.32,0.36,11.7281385514179,8
5.6,0.384,0.29,4.73,0.035,24.0,102.7,0.994226,3.14,0.56,9.68341589192958,8
6.49,0.251,0.3,4.76,0.046,43.8,125.2,0.991611,3.22,0.64,11.25167091581761,8
6.17,0.209,0.31,7.86,0.033,23.9,123.1,0.994091,3.1,0.32,11.86202536996635,8
6.04,0.37,0.19,8.47,0.039,13.1,103.6,0.993214,3.28,0.38,10.76732802173805,8
7.05,0.345,0.28,3.28,0.042,14.1,100.5,0.99273,3.07,0.43,11.24885226396589,8
6.8,0.248,0.28,1.45,0.042,30.9,129.7,0.992133,3.34,0.69,12.39865943453247,8
8.15,0.368,0.47,2.84,0.026,20.8,98.7,0.992785,3.09,0.37,10.48845765687298,8
6.9,0.353,0.34,5.18,0.042,27.8,89.9,0.99416,3.2,0.37,11.45327064203955,8
9.05,0.374,0.28,1.36,0.193,26.1,156.2,0.995635,3.22,0.51,11.47514898763464,8
6.88,0.246,0.33,5.71,0.02,20.5,94.4,0.989598,3.34,0.51,11.08379265884607,8
6.37,0.201,0.33,4.85,0.046,27.7,133.8,0.991456,3.3,0.5,11.67373979085244,8
6.46,0.346,0.32,5.82,0.048,48.1,186.5,0.994275,3.29,0.63,9.27512866260058,8
8.58,0.328,0.32,1.31,0.142,37.5,89.9,0.993251,3.18,0.34,11.1900527419612,8
5.79,0.348,0.29,5.89,0.037,25.5,136.7,0.993571,3.25,0.83,10.42077638830754,8
6.93,0.451,0.21,7.43,0.041,48.0,170.9,0.996523,3.21,0.65,9.52335462923665,8
7.85,0.337,0.24,3.28,0.039,31.8,116.8,0.993199,2.95,0.46,11.05721446613732,8
6.79,0.321,0.48,3.43,0.041,22.2,125.3,0.994008,3.32,0.62,12.94791035005964,8
5.57,0.376,0.32,7.65,0.057,43.5,131.0,0.994012,3.07,0.34,9.12589129923339,8
6.6,0.16,0.32,1.4,0.035,49.0,186.0,0.9906,3.35,0.64,12.4,8
7.3,0.17,0.24,8.1,0.121,32.0,162.0,0.99508,3.17,0.38,10.4,8
7.06,0.414,0.33,1.61,0.025,40.1,145.0,0.993412,3.16,0.55,9.15732209994149,8
6.39,0.385,0.31,2.9,0.032,8.5,93.2,0.992395,3.27,0.46,12.22428264843567,8
5.69,0.245,0.28,3.81,0.035,23.2,69.6,0.990295,3.22,0.68,9.65112628770964,8
6.9,0.3,0.33,4.1,0.035,26.0,155.0,0.9925,3.25,0.79,12.3,8
6.7,0.301,0.38,1.62,0.047,20.4,180.4,0.992854,3.0,0.5,10.60419101145599,8
6.02,0.334,0.32,3.6,0.037,14.1,105.7,0.991628,3.16,0.62,9.99979675942512,8
8.46,0.216,0.33,4.67,0.051,8.8,96.5,0.99183,2.95,0.53,10.98201379121982,8
6.15,0.287,0.28,4.62,0.032,22.6,86.7,0.990038,3.19,0.56,12.96957342577646,8
6.17,0.36,0.27,1.69,0.041,11.6,85.2,0.991995,3.04,0.57,10.09128769535771,8
8.73,0.375,0.3,2.84,0.03,11.4,125.8,0.990254,2.92,0.33,12.01923561537201,8
7.3,0.17,0.24,8.1,0.121,32.0,162.0,0.99508,3.17,0.38,10.4,8
6.86,0.343,0.2,1.24,0.036,32.7,91.3,0.991238,3.16,0.56,11.87807068819816,8
6.68,0.313,0.33,6.83,0.042,16.9,110.3,0.992792,3.11,0.4,11.25601475757202,8
6.4,0.393,0.35,1.27,0.032,18.5,196.8,0.992684,3.3,0.33,10.30557543915645,8
6.82,0.301,0.36,2.97,0.03,40.0,111.7,0.992795,3.29,0.62,11.28586788279376,8
6.96,0.312,0.26,4.17,0.036,26.0,95.0,0.992862,3.24,0.7,10.67350285073364,8
6.33,0.323,0.3,2.08,0.039,15.4,174.8,0.992025,3.23,0.65,11.61351520035228,8
8.23,0.312,0.27,4.61,0.03,27.2,134.8,0.99478,3.23,0.48,11.44465754803966,8
6.67,0.398,0.34,6.47,0.042,37.1,121.4,0.993474,3.4,0.53,10.83678589137049,8
7.01,0.411,0.27,3.16,0.034,18.9,121.5,0.991022,3.21,0.35,11.2952307532269,8
7.06,0.293,0.32,3.96,0.047,22.4,62.5,0.996747,3.15,0.36,10.36749973220636,8
7.0,0.23,0.36,7.1,0.028,31.0,104.0,0.9922,3.35,0.47,12.1,8
6.46,0.36,0.27,1.16,0.033,25.9,127.6,0.991342,3.15,0.3,11.0447979398956,8
6.13,0.286,0.3,5.32,0.043,38.6,80.2,0.995525,2.91,0.44,10.58899377100966,8
6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,8
6.88,0.295,0.27,2.9,0.04,8.7,84.4,0.99197,3.35,0.35,12.73451682272603,8
6.93,0.445,0.31,3.08,0.04,13.8,97.3,0.994206,3.2,0.61,12.10717116226839,8
6.1,0.175,0.13,3.39,0.042,46.3,227.5,0.993858,3.03,0.57,10.08114698909134,8
6.0,0.18,0.31,1.4,0.036,14.0,75.0,0.99085,3.34,0.58,11.1,8
6.36,0.253,0.49,5.36,0.048,14.5,168.2,0.996875,3.26,0.51,9.2631773176037,8
6.9,0.36,0.35,8.6,0.038,37.0,125.0,0.9916,3.0,0.32,12.4,8
6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,8
6.6,0.246,0.38,6.51,0.041,20.3,152.2,0.991978,3.01,0.31,10.17871379822954,8
6.7,0.33,0.34,7.5,0.036,39.0,124.0,0.99123,2.99,0.32,12.4,8
6.7,0.33,0.36,6.6,0.042,34.0,116.0,0.99123,2.97,0.31,12.2,8
7.77,0.369,0.07,3.29,0.046,34.7,126.2,0.992981,3.3,0.33,11.22881059256274,8
7.54,0.303,0.33,1.21,0.042,18.5,76.6,0.988976,3.29,0.51,12.40261703991628,8
6.35,0.382,0.31,2.57,0.04,14.1,110.0,0.989695,3.19,0.67,12.83141666064742,8
5.7,0.15,0.47,11.4,0.035,49.0,128.0,0.99456,3.03,0.34,10.5,8
7.68,0.403,0.3,8.17,0.147,58.0,173.2,0.993719,3.23,0.38,9.84421308056701,8
9.27,0.229,0.35,3.47,0.049,18.2,139.2,0.988883,3.13,0.59,10.49308670898667,8
5.4,0.53,0.16,2.7,0.036,34.0,128.0,0.98856,3.2,0.53,13.2,8
5.8,0.32,0.28,4.3,0.032,46.0,115.0,0.98946,3.16,0.57,13.0,8
5.68,0.308,0.33,2.17,0.034,23.7,69.1,0.990714,3.42,0.32,10.70869043486803,8
6.33,0.239,0.26,3.4,0.026,15.0,82.5,0.990272,3.06,0.37,12.46244310529866,8
6.4,0.391,0.25,1.12,0.034,20.6,60.6,0.990096,3.32,0.58,11.20523664927274,8
7.41,0.228,0.34,3.97,0.052,24.0,77.8,0.99174,3.02,0.38,11.07716372228904,8
5.0,0.29,0.54,5.7,0.035,54.0,155.0,0.98976,3.27,0.34,12.9,8
8.72,0.263,0.28,11.52,0.043,16.0,100.7,0.997878,3.1,0.37,9.08660612805852,8
6.54,0.308,0.37,5.62,0.038,14.2,113.2,0.991255,3.31,0.4,11.3053184673354,8
7.14,0.197,0.19,4.13,0.04,10.7,84.3,0.992336,3.24,0.33,12.83211074715902,8
7.69,0.256,0.3,1.04,0.042,19.2,92.7,0.992911,3.04,0.48,11.93959842296562,8
6.68,0.187,0.33,4.49,0.038,27.4,108.8,0.989206,3.0,0.59,12.30629808084633,8
7.65,0.306,0.22,10.69,0.041,41.3,177.1,0.994466,3.07,0.67,10.26246688617508,8
6.16,0.307,0.09,5.16,0.047,51.5,99.4,0.993564,3.15,0.39,9.1977134291367,8
6.22,0.291,0.29,7.32,0.037,14.8,73.3,0.994457,3.22,0.59,12.71941574943593,8
6.58,0.175,0.29,1.28,0.04,31.6,69.6,0.989379,3.41,0.54,10.86721268832968,8
7.09,0.348,0.26,11.68,0.038,39.3,76.8,0.99516,3.27,0.62,11.15898068244201,8
7.0,0.17,0.36,6.4,0.055,42.0,123.0,0.99318,3.11,0.5,11.0,8
6.65,0.224,0.33,3.59,0.035,20.1,43.8,0.988517,3.29,0.35,12.2448688890799,8
7.38,0.378,0.39,4.33,0.042,48.4,84.0,0.997574,3.25,0.37,11.80683014384988,8
6.93,0.348,0.07,11.43,0.047,23.8,169.6,0.991471,3.36,0.71,9.44624569425143,8
7.68,0.374,0.36,7.37,0.053,7.2,117.6,0.994094,3.17,0.45,10.8539377419508,8
7.98,0.307,0.28,4.61,0.028,9.3,60.1,0.990017,3.18,0.28,12.03614131009755,8
8.0,0.34,0.49,9.0,0.033,39.0,180.0,0.9936,3.13,0.38,12.3,8
9.26,0.261,0.48,3.26,0.04,33.2,116.2,0.990883,3.33,0.38,11.11936011912469,8
7.7,0.35,0.49,8.65,0.033,42.0,186.0,0.9931,3.14,0.38,12.4,8
6.54,0.334,0.29,7.54,0.061,48.2,191.5,0.994348,2.99,0.43,10.18538612761424,8
6.87,0.3,0.27,1.18,0.043,25.4,108.1,0.992462,3.27,0.3,10.62685934224016,8
6.75,0.648,0.32,2.47,0.031,46.5,109.0,0.99499,3.0,0.38,9.28574717611303,8
6.46,0.337,0.39,9.37,0.039,33.7,167.3,0.992446,3.15,0.45,10.3219239260381,8
6.37,0.346,0.48,8.13,0.035,25.0,126.0,0.994055,3.39,0.4,11.16376200904565,8
7.05,0.365,0.31,6.07,0.048,24.6,110.4,0.996796,3.07,0.48,9.97577682665922,8
6.42,0.297,0.3,4.49,0.031,44.7,108.5,0.992969,3.25,0.66,9.87400942806183,8
7.63,0.378,0.31,5.64,0.042,48.5,121.0,0.996044,3.06,0.62,10.45637497691808,8
6.44,0.237,0.29,9.06,0.051,81.3,161.5,0.994135,3.4,0.57,9.21986496219449,8
7.3,0.3,0.34,2.7,0.044,34.0,108.0,0.99105,3.36,0.53,12.8,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
6.8,0.22,0.31,6.9,0.037,33.0,121.0,0.99176,3.02,0.39,11.9,8
8.4,0.414,0.32,11.39,0.037,27.0,108.6,0.995299,3.24,0.39,9.96767647162237,8
9.06,0.149,0.27,3.73,0.041,26.5,86.4,0.993175,3.17,0.65,11.1432886025349,8
7.8,0.323,0.3,11.38,0.046,23.4,80.9,0.989951,3.29,0.55,12.40055967153086,8
7.01,0.377,0.33,4.36,0.036,27.3,116.0,0.989224,3.33,0.37,11.12743073224974,8
6.6,0.5,0.26,11.3,0.029,32.0,110.0,0.99302,3.27,0.78,12.9,8
8.85,0.167,0.33,4.81,0.042,24.8,105.2,0.994728,3.31,0.41,10.62619226757743,8
6.1,0.31,0.37,8.4,0.031,70.0,170.0,0.9934,3.42,0.4,11.7,8
7.56,0.253,0.33,6.54,0.048,14.0,143.8,0.994421,3.35,0.56,11.32066526924542,8
6.67,0.244,0.33,12.67,0.047,21.3,117.4,0.995396,3.32,0.76,12.32686987154473,8
6.0,0.26,0.42,5.2,0.027,70.0,178.0,0.9914,3.4,0.4,12.3,8
6.99,0.341,0.62,3.02,0.044,15.8,118.7,0.994877,3.23,0.38,12.43986899079876,8
7.09,0.359,0.34,10.6,0.047,52.4,106.1,0.992644,3.18,0.45,11.06194995807022,8
7.3,0.22,0.39,15.99,0.042,24.0,176.7,0.995109,3.18,0.41,11.2460630913439,8
6.5,0.44,0.47,5.45,0.014,44.0,137.0,0.98984,3.13,0.32,13.0,8
6.77,0.265,0.31,1.24,0.042,20.8,160.0,0.990272,3.31,0.47,11.22114863364819,8
7.14,0.325,0.3,4.47,0.046,55.4,150.6,0.992204,3.26,0.44,10.70964973721031,8
6.67,0.27,0.27,3.8,0.035,26.4,91.1,0.992771,3.22,0.35,10.45256001594512,8
6.87,0.425,0.19,5.65,0.039,13.1,85.0,0.99341,3.18,0.42,12.30658496139028,8
9.08,0.259,0.32,3.87,0.044,30.0,82.9,0.991299,3.25,0.36,12.00751507294559,8
5.2,0.155,0.33,1.6,0.028,13.0,59.0,0.98975,3.3,0.84,11.9,8
6.94,0.419,0.3,4.68,0.024,14.8,111.9,0.994342,3.15,0.37,11.28129716050507,8
6.2,0.273,0.29,10.52,0.048,94.1,152.9,0.993785,3.3,0.42,9.00261091304927,8
5.4,0.167,0.29,4.48,0.055,101.1,100.9,0.990643,3.36,0.52,10.2881559775505,8
7.47,0.308,0.31,4.37,0.052,20.7,122.6,0.994938,3.2,0.43,10.9702054989198,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
5.99,0.24,0.39,6.67,0.026,19.6,106.2,0.990318,3.2,0.35,9.67176257077974,8
6.4,0.33,0.33,1.64,0.036,16.1,165.9,0.995641,3.07,0.71,9.31327997577171,8
6.4,0.15,0.36,1.8,0.034,43.0,150.0,0.9922,3.42,0.69,11.0,8
6.34,0.353,0.24,4.17,0.038,33.6,102.6,0.991705,2.94,0.72,11.66777291808791,8
6.85,0.252,0.26,2.98,0.043,22.7,93.9,0.988152,3.17,0.51,12.78134569793848,8
8.53,0.256,0.33,5.35,0.033,43.5,122.8,0.992977,3.02,0.33,12.28990627335738,8
6.55,0.278,0.28,0.98,0.034,12.4,111.4,0.99177,3.25,0.56,12.42290596517738,8
6.52,0.262,0.32,3.05,0.031,24.5,106.1,0.991274,3.06,0.36,12.3574177617814,8
7.1,0.47,0.29,14.8,0.024,22.0,142.0,0.99518,3.12,0.48,12.0,8
8.86,0.184,0.49,3.66,0.039,49.4,120.5,0.994109,3.26,0.51,11.21166619176142,8
6.63,0.179,0.38,3.53,0.04,7.7,60.7,0.992956,3.2,0.71,12.90771546852379,8
7.1,0.47,0.29,14.8,0.024,22.0,142.0,0.99518,3.12,0.48,12.0,8
7.02,0.278,0.24,3.64,0.044,12.9,142.8,0.994892,3.0,0.67,10.38495258913928,8
5.2,0.285,0.29,5.15,0.035,64.0,138.0,0.9895,3.19,0.34,12.4,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
6.5,0.33,0.24,14.5,0.048,20.0,96.0,0.99456,3.06,0.3,11.5,8
8.63,0.241,0.3,3.18,0.053,15.4,142.3,0.994037,3.45,0.53,10.2208262028507,8
5.3,0.24,0.33,1.3,0.033,25.0,97.0,0.9906,3.59,0.38,11.0,8
7.65,0.411,0.34,11.18,0.043,25.6,173.7,0.992953,3.24,0.62,9.19752295304104,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
6.65,0.217,0.32,2.1,0.037,24.7,126.9,0.992795,3.57,0.61,10.05910507575762,8
7.28,0.382,0.21,4.32,0.045,26.4,187.6,0.994581,3.2,0.59,10.88789476844857,8
6.27,0.252,0.32,1.5,0.045,25.1,139.5,0.993758,3.39,0.43,11.01240855650301,8
6.84,0.163,0.29,4.79,0.044,10.4,120.8,0.990507,3.19,0.49,11.18550316187857,8
6.9,0.22,0.28,7.8,0.05,43.0,116.0,0.99326,3.22,0.6,11.5,8
6.56,0.403,0.12,7.45,0.056,48.0,185.8,0.997863,3.19,0.49,9.82901972196958,8
6.68,0.251,0.29,4.58,0.041,14.2,72.8,0.993609,3.19,0.38,12.57016788615571,8
6.72,0.271,0.31,3.95,0.049,20.8,115.8,0.994687,3.18,0.57,12.94488420136559,8
7.47,0.185,0.34,4.21,0.037,27.3,87.1,0.990346,3.16,0.35,9.62102043818593,8
6.33,0.242,0.3,2.89,0.036,29.2,115.8,0.991836,3.33,0.36,12.53423040327044,8
6.27,0.353,0.31,3.12,0.049,41.3,104.2,0.99102,3.15,0.36,10.97966169549308,8
9.16,0.338,0.48,4.36,0.046,21.9,136.1,0.994287,3.23,0.41,11.06871477152122,8
6.49,0.293,0.44,5.74,0.037,19.5,124.1,0.990323,3.24,0.57,11.0514602655619,8
7.38,0.393,0.26,3.3,0.042,27.5,103.7,0.994272,3.19,0.61,12.35220693638911,8
6.74,0.272,0.3,2.21,0.031,10.9,84.0,0.991388,3.28,0.34,11.36786098014539,8
